,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
97,Bhool Bhulaiyaa,2007,Not Rated,"Comedy, Horror, Mystery",Priyadarshan,"An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.","Hindi, Bengali",India,1 win & 15 nominations,"Internet Movie Database:7.4/10, Rotten Tomatoes:20%",7.4,"30,413"
98,Bittoo Boss,2012,Not Rated,Romance,Supavitra Babul,"Bittoo Boss' is a young charming, ingenious and a fun filled wedding cameraman who takes pride in calling himself a ""Sesky Video Shooter"". He is the star of all wedding celebrations of Anandpur Sahib, a small town in Punjab. Bitto...",Hindi,India,N/A,Internet Movie Database:4.1/10,4.1,392
99,Cool Hand Luke,1967,GP,"Crime, Drama",Stuart Rosenberg,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",English,United States,Won 1 Oscar. 4 wins & 10 nominations total,"Internet Movie Database:8.1/10, Rotten Tomatoes:100%, Metacritic:92/100",8.1,"182,982"
100,Doctor Zhivago,1965,PG-13,"Drama, Romance, War",David Lean,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","English, Russian, French","Italy, United Kingdom, United States",Won 5 Oscars. 21 wins & 13 nominations total,"Internet Movie Database:7.9/10, Rotten Tomatoes:84%, Metacritic:69/100",7.9,"79,647"
101,Dramaworld,2016–2021,N/A,"Short, Comedy, Drama",N/A,What would YOU do if you fell into your favorite K-drama?,"Korean, English","United States, South Korea, China",1 win,Internet Movie Database:7.4/10,7.4,"1,860"
102,Eh Janam Tumhare Lekhe,2015,N/A,Biography,Harjit Singh,"Eh Janam Tumhare Lekhe ~ This life is dedicated to ""YOU THE ALMIGHTY"" (God). This film is a journey of one man ""BHAGAT PURAN SINGH"" who treaded a difficult and exhausting path. The journey was made possible by his infinite faith i...",Punjabi,India,N/A,Internet Movie Database:8.6/10,8.6,412
103,El clon de Hitler,2003,N/A,"Crime, Thriller",Christian González,N/A,Spanish,Mexico,N/A,Internet Movie Database:4.9/10,4.9,24
104,Encounter: The Killing,2002,N/A,"Crime, Drama",Ajay Phansekar,"After accidentally killing a young mobster, a guilt-stricken police officer searches for the parents who never came forward to claim their son's body.",Hindi,India,2 nominations,Internet Movie Database:6.2/10,6.2,176
105,Expo,2019,TV-14,"Action, Crime, Drama",Joseph Mbah,"With only three days to prove his innocence, a struggling ex-soldier (Derek Davenport) is forced to take one last job and save his client's kidnapped daughter (Amelia Haberman) or face time for a crime he did not commit.",English,United States,N/A,Internet Movie Database:2.7/10,2.7,"2,228"
106,Footprints in the Sand,2010,N/A,"Documentary, Short",Ramin Mohseni,"A short film about Hossein Torabi, master Iranian screenwriter and documentary filmmaker and his works, in celebration of Iranian National Film Day in 2010.",Persian,Iran,N/A,,N/A,N/A
107,Ginger,1971,R,"Action, Crime, Drama",Don Schain,A rich society girl is recruited to go undercover and expose a drug/blackmail/prostitution ring in her small town.,English,United States,N/A,Internet Movie Database:3.9/10,3.9,623
108,Hope Aur Hum,2018,N/A,"Comedy, Drama, Family",Sudip Bandyopadhyay,"A father obsessed with an old school copying machine wreaks havoc on the family, causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other.",Hindi,India,2 nominations,"Internet Movie Database:6.3/10, Rotten Tomatoes:57%",6.3,451
109,Jhansi Ki Rani,1953,Not Rated,"Biography, Drama, History",Sohrab Modi,Rajguru (Sohrab Modi) decides that Jhansi should get its proper recognition in history. He comes across a young girl Manu (the young Rani Lakshmibai) played by Baby Shikha. Her father has been hit by a carriage driven by an Englis...,"Hindi, English",India,1 nomination,Internet Movie Database:6.9/10,6.9,116
110,Julie,1956,Approved,"Crime, Drama, Film-Noir",Andrew L. Stone,A terrified wife tries to escape from her insanely jealous husband who is bent on killing her.,English,United States,Nominated for 2 Oscars. 2 nominations total,Internet Movie Database:6.1/10,6.1,"1,894"
111,Kanika,2017,N/A,Horror,Pushkar Manohar,A doctor and his colleagues who use sex-determination testing for unethical ends face retribution from a supernatural victim who seeks vengeance.,Marathi,India,N/A,Internet Movie Database:4.5/10,4.5,112
112,Lincoln,2012,PG-13,"Biography, Drama, History",Steven Spielberg,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",English,"United States, India",Won 2 Oscars. 107 wins & 252 nominations total,"Internet Movie Database:7.3/10, Rotten Tomatoes:89%, Metacritic:87/100",7.3,"266,190"
113,Lizzie Borden Took an Ax,2014,TV-14,"Biography, Crime, Drama",Nick Gomez,"In 1893 Massachusetts, Lizzie Andrew Borden is put on trial for murdering her father and stepmother with an ax.",English,United States,3 nominations,"Internet Movie Database:5.8/10, Rotten Tomatoes:40%",5.8,"5,530"
114,Lost Girl,2010–2016,TV-MA,"Action, Drama, Fantasy",N/A,"When a succubus finds it difficult to adapt with her unusual traits inspite of being born in a human family, she sets off on a journey to find out the truth of her origin.",English,Canada,2 wins & 13 nominations,Internet Movie Database:7.6/10,7.6,"32,236"
115,Mad Men,2007–2015,TV-MA,Drama,N/A,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",English,United States,Won 16 Primetime Emmys. 143 wins & 406 nominations total,Internet Movie Database:8.7/10,8.7,"248,865"
116,"Mere Papa, Hero Hiralal",2018,N/A,Drama,N/A,"Struggle of a widower auto drive to pursue the dream of adopted daughter with help of his few friends and family. Its a light hearted drama with lots of happy, sad, funny and thrilling moments.",Hindi,India,N/A,Internet Movie Database:8.2/10,8.2,26
117,Mr. Virgin,1984,TV-14,"Comedy, Drama, Romance",Anthony Chan,"When a young man ignores a feng shui master's warning and decides to marry before turning 30, a series of mishaps begins to curse his life.","Cantonese, Mandarin",Hong Kong,N/A,Internet Movie Database:5.2/10,5.2,118
118,My Honor Was Loyalty,2016,PG-13,"Drama, War","Leone Frisa, Alessandro Pepe","Untersharführer Ludwig Herckel (Leone Frisa), is a devoted and patriotic soldier of the elite 1st SS Panzer Division Leibstandarte SS Adolf Hitler. As the action begins, we follow a small group of experienced infantry soldiers in ...","German, English",Italy,N/A,Internet Movie Database:4.3/10,4.3,"1,200"
119,Person of Interest,2011–2016,TV-14,"Action, Crime, Drama",N/A,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mys...",English,United States,Nominated for 1 Primetime Emmy. 9 wins & 22 nominations total,Internet Movie Database:8.5/10,8.5,"182,234"
120,Ramayan,1987–1988,TV-14,"Adventure, Drama, Family",N/A,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",Hindi,India,1 nomination,Internet Movie Database:9.0/10,9.0,"22,360"
121,Razia Sultan,1983,N/A,"Biography, Drama, History",Kamal Amrohi,An account of the reign of Indian empress Razia Sultan and her love for her slave Jamaluddin Yakut.,Urdu,India,1 win,Internet Movie Database:6.3/10,6.3,220
122,Road to Sangam,2009,N/A,"Drama, Thriller",Amit Rai,"Amidst bomb explosions, fake arrests, police brutality, and protests, a determined mechanic attempts to repair an antique truck to transport the last remains of Mahatma Gandhi in modern-day India.","Hindi, Urdu, Sanskrit, English",India,1 win & 4 nominations,Internet Movie Database:7.3/10,7.3,853
123,Samson,2018,PG-13,"Action, Drama","Bruce Macdonald, Gabriel Sabloff","After losing the love of his life to a cruel Philistine Prince, a young Hebrew with supernatural strength defends his people, sacrificing everything to avenge his love, his people, and God.",English,"South Africa, United States",N/A,"Internet Movie Database:4.5/10, Rotten Tomatoes:25%, Metacritic:17/100",4.5,"4,802"
124,Sangam,1964,N/A,"Drama, Musical, Romance",Raj Kapoor,"Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.","Hindi, English",India,5 wins & 7 nominations,Internet Movie Database:7.3/10,7.3,"1,829"
125,Sin Senos No Hay Paraíso,2008–,TV-MA,"Action, Crime, Drama",N/A,"Sin Senos No Hay Paraiso tells the tragic story of a young woman named Catalina Santana whose ambition is so strong she'll risk her life, because of her obsession with having larger breasts in order to attract drug lords and have ...",Spanish,"Colombia, Mexico, United States",N/A,Internet Movie Database:6.9/10,6.9,726
126,The Boy in the Striped Pajamas,2008,PG-13,"Drama, War",Mark Herman,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",English,"United Kingdom, United States",7 wins & 7 nominations,"Internet Movie Database:7.7/10, Rotten Tomatoes:65%, Metacritic:55/100",7.7,"231,033"
127,The Bucket List,2007,PG-13,"Adventure, Comedy, Drama",Rob Reiner,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,English,United States,3 wins & 4 nominations,"Internet Movie Database:7.4/10, Rotten Tomatoes:41%, Metacritic:42/100",7.4,"252,449"
128,The Cincinnati Kid,1965,TV-14,Drama,"Norman Jewison, Sam Peckinpah",An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,English,United States,1 win & 2 nominations,"Internet Movie Database:7.2/10, Rotten Tomatoes:86%, Metacritic:67/100",7.2,"17,485"
129,The Fosters,2013–2018,TV-14,"Drama, Romance",N/A,"Teenager Callie Jacob is placed in a foster home with a lesbian couple and their blend of biological, adoptive, and foster children.",English,United States,7 wins & 32 nominations,Internet Movie Database:8.0/10,8.0,"29,441"
130,The Jane Austen Book Club,2007,PG-13,"Comedy, Drama, Romance",Robin Swicord,"Six Californians start a club to discuss the works of Jane Austen, only to find their relationships -- both old and new -- begin to resemble 21st century versions of her novels.",English,United States,2 nominations,"Internet Movie Database:6.7/10, Rotten Tomatoes:66%, Metacritic:61/100",6.7,"28,618"
131,The Last Exorcism,2010,PG-13,"Horror, Mystery, Thriller",Daniel Stamm,A troubled evangelical minister agrees to let his last exorcism be filmed by a documentary crew.,"English, Latin","France, United States",7 wins & 10 nominations,"Internet Movie Database:5.7/10, Rotten Tomatoes:72%, Metacritic:63/100",5.7,"51,084"
132,The Road to Calvary,2017–,N/A,Drama,N/A,"Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them.",Russian,Russia,4 wins & 11 nominations,Internet Movie Database:7.7/10,7.7,881
133,The Social Network,2010,PG-13,"Biography, Drama",David Fincher,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.","English, French",United States,Won 3 Oscars. 173 wins & 186 nominations total,"Internet Movie Database:7.8/10, Rotten Tomatoes:96%, Metacritic:95/100",7.8,"726,546"
134,"Trikal (Past, Present, Future)",1985,N/A,Drama,Shyam Benegal,"A Goan native returns to his now-derelict, palatial childhood home, recalling his family's interpersonal drama during the end of Portuguese rule.",Hindi,India,1 win,Internet Movie Database:7.1/10,7.1,290
135,Vitti Dandu,2014,N/A,"Drama, History",Ganesh Kadam,"In this exploration of the relationship between a grandfather and a grandson at the time of Indian independence, the question of whether one's love of country should supersede love of family is a central one.",Marathi,India,N/A,Internet Movie Database:7.3/10,7.3,62
136,War Horse,2011,PG-13,"Action, Adventure, Drama",Steven Spielberg,Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,"English, German","United States, India",Nominated for 6 Oscars. 15 wins & 77 nominations total,"Internet Movie Database:7.2/10, Rotten Tomatoes:75%, Metacritic:72/100",7.2,"161,733"
137,Warehoused,2017,N/A,Documentary,"Asher Emmanuel, Vincent Vittorio","An estimated 12 million people live in refugee camps worldwide and only 0.1% are resettled, repatriated, or integrated into normal society each year. The feature-length documentary, ""Warehoused"", explores the plight of long-term r...",English,United States,N/A,Internet Movie Database:6.5/10,6.5,7
138,My Little Pony: A New Generation,2021,PG,"Animation, Adventure, Comedy","Robert Cullen, José Luis Ucha, Mark Fattibene","After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.",English,"United States, Ireland, Canada",3 nominations,"Internet Movie Database:6.8/10, Rotten Tomatoes:92%",6.8,"4,185"
139,Confessions of an Invisible Girl,2021,TV-PG,"Comedy, Drama",Bruno Garotti,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.","Portuguese, English",Brazil,2 nominations,Internet Movie Database:5.2/10,5.2,"1,245"
